time,day_temperature_C,day_humidity_percent,dayofweek_sin,dayofweek_cos,dayofmonth_sin,dayofmonth_cos,dayofyear_sin,dayofyear_cos,complaint_count
2023-05-30,34.5,45,0.7818314824680298,0.6234898018587336,-0.20129852008866114,0.9795299412524943,0.5307300481619334,-0.8475409228928311,29.0
2023-05-31,34.0,48,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,0.5160623910158528,-0.8565509959010036,15.0
2023-06-01,35.1,40,0.43388373911755823,-0.900968867902419,0.20129852008866006,0.9795299412524945,0.5012418134457758,-0.865307254363206,27.0
2023-06-02,35.3,33,-0.433883739117558,-0.9009688679024191,0.39435585511331855,0.9189578116202306,0.48627270710868997,-0.8738071036110808,28.0
2023-06-03,34.9,39,-0.9749279121818236,-0.2225209339563146,0.5712682150947923,0.8207634412072763,0.4711595076738638,-0.8820480249558537,24.0
2023-06-04,32.9,51,-0.7818314824680299,0.6234898018587334,0.72479278722912,0.6889669190756866,0.4559066935084588,-0.8900275764346767,27.0
2023-06-05,33.5,45,0.0,1.0,0.8486442574947509,0.5289640103269624,0.440518784350495,-0.8977433935342337,15.0
2023-06-06,34.7,39,0.7818314824680298,0.6234898018587336,0.9377521321470804,0.3473052528448203,0.42500033996955416,-0.9051931898913974,21.0
2023-06-07,35.0,39,0.9749279121818236,-0.22252093395631434,0.9884683243281114,0.1514277775045767,0.4093559588156213,-0.9123747579707273,21.0
2023-06-08,35.7,35,0.43388373911755823,-0.900968867902419,0.9987165071710528,-0.05064916883871264,0.39359027665646673,-0.9192859697186104,28.0
2023-06-09,35.8,31,-0.433883739117558,-0.9009688679024191,0.9680771188662043,-0.2506525322587204,0.3777079652039649,-0.9259247771938498,45.0
2023-06-10,35.3,39,-0.9749279121818236,-0.2225209339563146,0.8978045395707416,-0.4403941515576344,0.36171373072976765,-0.9322892131745133,40.0
